DM-Antalus.InventorySpot143 1 11 3211
DM-Antalus.PathNode148 2 8 184
DM-Antalus.PathNode68 3 11 1637
DM-Antalus.PathNode69 4 9 1316
DM-Antalus.InventorySpot114 5 12 987
DM-Antalus.PathNode55 6 5 164
DM-Antalus.PathNode147 7 8 911
DM-Antalus.InventorySpot142 8 12 1221
DM-Antalus.InventorySpot141 9 11 409
DM-Antalus.JumpSpot34 10 6 235
DM-Antalus.PathNode71 11 4 99
DM-Antalus.InventorySpot140 12 11 1241
DM-Antalus.LiftExit0 13 12 1290
DM-Antalus.PathNode66 14 8 733
DM-Antalus.AIMarker15 15 1 322
DM-Antalus.PathNode64 17 11 1303
DM-Antalus.JumpSpot18 16 2 251
DM-Antalus.PathNode144 19 6 206
DM-Antalus.InventorySpot115 18 9 1310
DM-Antalus.InventorySpot133 21 9 683
DM-Antalus.InventorySpot139 20 7 762
DM-Antalus.InventorySpot136 23 10 1073
DM-Antalus.InventorySpot137 22 9 1455
DM-Antalus.InventorySpot138 25 10 1460
DM-Antalus.PathNode62 24 10 2078
DM-Antalus.PathNode61 27 11 1257
DM-Antalus.PathNode60 26 11 2064
DM-Antalus.InventorySpot134 29 9 758
DM-Antalus.InventorySpot135 28 11 995
DM-Antalus.PathNode81 31 9 818
DM-Antalus.InventorySpot97 30 13 812
DM-Antalus.InventorySpot105 34 9 1460
DM-Antalus.InventorySpot129 35 4 129
DM-Antalus.PathNode146 32 3 76
DM-Antalus.InventorySpot104 33 9 1497
DM-Antalus.InventorySpot132 38 5 100
DM-Antalus.PathNode128 39 8 949
DM-Antalus.InventorySpot130 36 6 608
DM-Antalus.InventorySpot131 37 6 636
DM-Antalus.PathNode91 42 6 555
DM-Antalus.InventorySpot128 43 4 81
DM-Antalus.PathNode93 40 9 958
DM-Antalus.JumpSpot56 41 7 585
DM-Antalus.PathNode90 46 7 891
DM-Antalus.JumpSpot53 47 5 216
DM-Antalus.PathNode92 44 4 272
DM-Antalus.InventorySpot127 45 4 472
DM-Antalus.InventorySpot121 51 6 494
DM-Antalus.InventorySpot123 50 6 671
DM-Antalus.JumpSpot25 49 4 137
DM-Antalus.PathNode75 48 2 62
DM-Antalus.JumpSpot57 55 4 540
DM-Antalus.InventorySpot126 54 6 438
DM-Antalus.InventorySpot125 53 6 619
DM-Antalus.JumpSpot8 52 4 404
DM-Antalus.InventorySpot122 59 6 574
DM-Antalus.PathNode35 58 6 1394
DM-Antalus.PathNode36 57 6 1694
DM-Antalus.InventorySpot92 56 6 528
DM-Antalus.InventorySpot120 63 12 408
DM-Antalus.AIMarker11 62 0 0
DM-Antalus.InventorySpot124 61 6 579
DM-Antalus.PathNode54 60 3 214
DM-Antalus.InventorySpot95 68 8 161
DM-Antalus.InventorySpot117 69 6 290
DM-Antalus.PathNode95 70 10 916
DM-Antalus.InventorySpot96 71 7 149
DM-Antalus.JumpSpot5 64 3 415
DM-Antalus.JumpSpot6 65 5 1815
DM-Antalus.PathNode50 66 2 124
DM-Antalus.InventorySpot116 67 10 694
DM-Antalus.InventorySpot118 76 11 1215
DM-Antalus.PathNode137 77 11 2031
DM-Antalus.InventorySpot103 78 12 1705
DM-Antalus.PathNode115 79 5 771
DM-Antalus.PathNode40 72 10 563
DM-Antalus.PathNode30 73 12 891
DM-Antalus.InventorySpot76 74 11 2446
DM-Antalus.InventorySpot119 75 12 1008
DM-Antalus.PathNode143 85 5 304
DM-Antalus.PathNode114 84 6 767
DM-Antalus.JumpSpot54 87 5 843
DM-Antalus.PathNode83 86 8 657
DM-Antalus.InventorySpot111 81 3 444
DM-Antalus.PathNode8 80 7 784
DM-Antalus.PlayerStart9 83 5 595
DM-Antalus.InventorySpot112 82 2 78
DM-Antalus.PathNode13 93 7 294
DM-Antalus.InventorySpot108 92 7 346
DM-Antalus.InventorySpot80 95 10 1220
DM-Antalus.PathNode98 94 7 819
DM-Antalus.PathNode65 89 11 1037
DM-Antalus.InventorySpot113 88 4 320
DM-Antalus.InventorySpot107 91 6 525
DM-Antalus.JumpSpot59 90 6 327
DM-Antalus.PathNode26 102 3 487
DM-Antalus.InventorySpot109 103 3 298
DM-Antalus.InventorySpot91 100 7 1182
DM-Antalus.JumpSpot50 101 1 114
DM-Antalus.InventorySpot110 98 6 1832
DM-Antalus.JumpSpot15 99 6 1695
DM-Antalus.InventorySpot81 96 10 2284
DM-Antalus.PathNode18 97 10 2162
DM-Antalus.PathNode19 110 4 678
DM-Antalus.PathNode20 111 7 450
DM-Antalus.PathNode102 108 7 587
DM-Antalus.JumpSpot60 109 6 624
DM-Antalus.PathNode157 106 12 1625
DM-Antalus.InventorySpot102 107 8 790
DM-Antalus.PathNode145 104 4 808
DM-Antalus.PathNode51 105 9 1107
DM-Antalus.PlayerStart13 119 6 213
DM-Antalus.InventorySpot100 118 7 775
DM-Antalus.LiftExit9 117 7 451
DM-Antalus.PathNode3 116 8 1510
DM-Antalus.PathNode2 115 9 1385
DM-Antalus.PathNode134 114 5 221
DM-Antalus.InventorySpot99 113 7 625
DM-Antalus.InventorySpot106 112 9 1461
DM-Antalus.PathNode16 127 10 1325
DM-Antalus.PathNode84 126 9 915
DM-Antalus.InventorySpot101 125 7 792
DM-Antalus.LiftExit8 124 9 875
DM-Antalus.PathNode129 123 1 2
DM-Antalus.PathNode133 122 6 455
DM-Antalus.PathNode131 121 2 51
DM-Antalus.InventorySpot77 120 6 719
DM-Antalus.PathNode7 137 8 844
DM-Antalus.PlayerStart7 136 4 68
DM-Antalus.InventorySpot98 139 7 810
DM-Antalus.JumpSpot51 138 0 0
DM-Antalus.PathNode97 141 9 1081
DM-Antalus.JumpSpot52 140 1 150
DM-Antalus.InventorySpot72 143 9 711
DM-Antalus.AIMarker8 142 7 442
DM-Antalus.InventorySpot85 129 7 991
DM-Antalus.PathNode109 128 8 1231
DM-Antalus.PathNode106 131 8 1405
DM-Antalus.PathNode107 130 7 1262
DM-Antalus.InventorySpot82 133 8 1036
DM-Antalus.AIMarker13 132 6 237
DM-Antalus.AIMarker14 135 3 122
DM-Antalus.JumpSpot24 134 3 98
DM-Antalus.PathNode119 152 9 1510
DM-Antalus.PathNode108 153 7 953
DM-Antalus.PathNode156 154 8 679
DM-Antalus.AIMarker12 155 7 129
DM-Antalus.InventorySpot90 156 12 2314
DM-Antalus.InventorySpot74 157 7 1323
DM-Antalus.PathNode150 158 5 191
DM-Antalus.PathNode125 159 7 822
DM-Antalus.JumpSpot58 144 3 146
DM-Antalus.PathNode58 145 12 1961
DM-Antalus.PathNode56 146 6 88
DM-Antalus.AIMarker9 147 2 133
DM-Antalus.InventorySpot89 148 11 1322
DM-Antalus.LiftExit2 149 12 2734
DM-Antalus.PathNode72 150 11 2016
DM-Antalus.AIMarker10 151 2 505
DM-Antalus.JumpSpot26 171 7 613
DM-Antalus.PathNode28 170 5 959
DM-Antalus.JumpSpot19 169 2 1192
DM-Antalus.PlayerStart14 168 0 0
DM-Antalus.PathNode45 175 8 1311
DM-Antalus.JumpSpot33 174 1 21
DM-Antalus.PathNode17 173 7 861
DM-Antalus.PathNode78 172 10 1217
DM-Antalus.PathNode117 163 10 1993
DM-Antalus.InventorySpot93 162 8 751
DM-Antalus.InventorySpot94 161 7 855
DM-Antalus.PathNode1 160 8 1179
DM-Antalus.PathNode76 167 10 922
DM-Antalus.PathNode43 166 8 893
DM-Antalus.PathNode87 165 8 850
DM-Antalus.PathNode11 164 12 1447
DM-Antalus.LiftExit6 186 8 2116
DM-Antalus.PathNode6 187 8 731
DM-Antalus.PathNode29 184 5 1088
DM-Antalus.LiftExit5 185 7 727
DM-Antalus.PathNode22 190 3 29
DM-Antalus.JumpSpot9 191 4 73
DM-Antalus.PathNode48 188 10 1049
DM-Antalus.PathNode15 189 7 979
DM-Antalus.PathNode113 178 11 1395
DM-Antalus.PlayerStart5 179 1 8
DM-Antalus.PathNode44 176 8 1538
DM-Antalus.PlayerStart15 177 10 458
DM-Antalus.JumpSpot14 182 5 1120
DM-Antalus.PathNode33 183 4 905
DM-Antalus.JumpSpot10 180 4 318
DM-Antalus.PathNode94 181 8 383
DM-Antalus.PathNode53 205 9 1483
DM-Antalus.PathNode9 204 12 1848
DM-Antalus.LiftExit3 207 11 819
DM-Antalus.PathNode47 206 8 1201
DM-Antalus.PathNode37 201 3 441
DM-Antalus.PathNode63 200 12 1973
DM-Antalus.PathNode27 203 8 982
DM-Antalus.JumpSpot4 202 1 8
DM-Antalus.JumpSpot39 197 8 958
DM-Antalus.PathNode105 196 8 1149
DM-Antalus.PlayerStart6 199 2 21
DM-Antalus.PathNode96 198 9 451
DM-Antalus.PathNode31 193 7 817
DM-Antalus.PathNode10 192 11 1073
DM-Antalus.PathNode120 195 10 2494
DM-Antalus.JumpSpot55 194 7 1050
DM-Antalus.JumpSpot0 220 7 988
DM-Antalus.JumpSpot11 221 0 0
DM-Antalus.PlayerStart8 222 0 0
DM-Antalus.PathNode49 223 8 1075
DM-Antalus.JumpSpot42 216 7 1170
DM-Antalus.PathNode85 217 7 873
DM-Antalus.PlayerStart2 218 7 249
DM-Antalus.PathNode70 219 9 1040
DM-Antalus.PathNode38 212 5 479
DM-Antalus.JumpSpot17 213 3 631
DM-Antalus.PathNode77 214 7 631
DM-Antalus.PathNode23 215 12 2756
DM-Antalus.PathNode46 208 8 1389
DM-Antalus.PathNode12 209 7 274
DM-Antalus.PathNode154 210 6 348
DM-Antalus.PathNode122 211 9 1042
DM-Antalus.PathNode100 239 5 492
DM-Antalus.PathNode127 238 7 647
DM-Antalus.InventorySpot75 237 9 2213
DM-Antalus.PathNode39 236 6 1187
DM-Antalus.PlayerStart0 235 2 70
DM-Antalus.PathNode123 234 8 796
DM-Antalus.PathNode25 233 7 1908
DM-Antalus.PathNode126 232 7 414
DM-Antalus.PathNode136 231 9 576
DM-Antalus.JumpSpot32 230 1 20
DM-Antalus.PathNode116 229 9 906
DM-Antalus.PathNode99 228 4 606
DM-Antalus.LiftExit4 227 12 1624
DM-Antalus.PlayerStart3 226 3 140
DM-Antalus.PathNode138 225 7 524
DM-Antalus.PathNode101 224 9 697
DM-Antalus.PathNode149 254 8 1110
DM-Antalus.JumpSpot36 255 2 18
DM-Antalus.PathNode142 252 3 466
DM-Antalus.PathNode112 253 7 698
DM-Antalus.PathNode104 250 10 1170
DM-Antalus.PathNode118 251 5 81
DM-Antalus.PathNode67 248 6 341
DM-Antalus.InventorySpot79 249 7 682
DM-Antalus.PlayerStart16 246 6 450
DM-Antalus.JumpSpot22 247 8 765
DM-Antalus.InventorySpot78 244 5 780
DM-Antalus.JumpSpot49 245 2 361
DM-Antalus.JumpSpot44 242 3 262
DM-Antalus.PathNode82 243 1 36
DM-Antalus.JumpSpot47 240 5 379
DM-Antalus.JumpSpot45 241 4 362
DM-Antalus.LiftCenter1 275 11 648
DM-Antalus.InventorySpot88 274 6 472
DM-Antalus.JumpSpot20 273 6 222
DM-Antalus.PathNode41 272 8 927
DM-Antalus.LiftCenter2 279 11 392
DM-Antalus.PathNode111 278 6 1358
DM-Antalus.LiftCenter3 277 7 495
DM-Antalus.PlayerStart4 276 4 77
DM-Antalus.PlayerStart11 283 2 184
DM-Antalus.PlayerStart10 282 0 0
DM-Antalus.PathNode59 281 11 2264
DM-Antalus.PlayerStart1 280 2 376
DM-Antalus.JumpSpot12 287 2 55
DM-Antalus.PathNode132 286 5 570
DM-Antalus.PathNode24 285 8 1129
DM-Antalus.PathNode0 284 7 1000
DM-Antalus.PathNode79 258 7 643
DM-Antalus.InventorySpot83 259 7 796
DM-Antalus.PathNode5 256 2 104
DM-Antalus.PathNode80 257 7 394
DM-Antalus.InventorySpot84 262 8 696
DM-Antalus.PathNode57 263 6 481
DM-Antalus.InventorySpot73 260 7 1080
DM-Antalus.PathNode140 261 7 739
DM-Antalus.PathNode14 266 5 488
DM-Antalus.PathNode42 267 5 246
DM-Antalus.PathNode124 264 4 546
DM-Antalus.InventorySpot86 265 7 1262
DM-Antalus.InventorySpot87 270 7 832
DM-Antalus.PathNode89 271 7 857
DM-Antalus.PathNode88 268 7 1239
DM-Antalus.PathNode151 269 6 459
DM-Antalus.PathNode21 288 4 795
DM-Antalus.JumpSpot7 289 3 1613
DM-Antalus.PathNode34 290 6 1101
DM-Antalus.PathNode32 291 7 821
DM-Antalus.PathNode139 292 8 901
